proxy_trial_id,terminal_trial_id,seed,proxy_score,final_score,param.horizon,param.terminal_mc_samples,param.guidance_scale,param.diffusion_temperature,param.mass_sampling_mode,param.class_conditional_mass_sampling,param.initial_position_mode,param.initial_position_scale,param.initial_position_jitter,param.joint_bank_sampling,param.state_projection,param.terminal_projection,param.num_points,param.step_size,param.poisson_dirichlet_beta,param.poisson_dirichlet_max_terms,param.drift_clip_total_displacement,param.drift_clip_norm,metric.g_accuracy,metric.g_mean_target_probability,metric.cas_accuracy,metric.one_nn_accuracy_macro,metric.coverage_macro,metric.mean_real_to_generated_sinkhorn_macro,metric.mean_generated_to_real_sinkhorn_macro,metric.mean_generated_diversity_macro
2,5,163950608,0.5418115788872329,0.3445234823354107,0.0002,192,6.018536747979348,0.25,truncated_poisson_dirichlet,False,uniform,0.12,0.0,False,reflect,reflect,32,2.0833333333333334e-06,64.0,512,0.10714285714285714,,0.5640625,0.44682321556940446,0.1,1.0,0.26875,0.0380261906075068,0.04585614119442623,0.020180477685776306
13,6,1427106678,0.40454132243503,0.27514035808936493,0.0002,64,2.782140418911325,0.75,truncated_poisson_dirichlet,False,uniform,0.12,0.0,False,reflect,reflect,32,1.5625e-06,32.0,128,0.21428571428571427,,0.403515625,0.3686440539290997,0.1,0.9875,0.309375,0.03979960671908524,0.047061040229235115,0.02267159215616546
8,6,1487688824,0.3510445119816207,0.24190760225796945,5e-05,96,5.2797231077245605,1.0,truncated_poisson_dirichlet,False,uniform,0.12,0.0,False,reflect,reflect,32,7.8125e-07,32.0,512,0.14285714285714285,,0.3390625,0.3043840150531297,0.1,0.9890625,0.334375,0.03864738380170171,0.0479437175579414,0.023804146889852048
