trial_id,seed,score,param.point_feature_dim,param.hidden_dim,param.dropout,param.epochs,param.batch_size,param.lr,param.weight_decay,param.position_jitter_std,param.tau_sampling,param.max_tau,metric.clean_val_loss,metric.clean_val_accuracy,metric.noisy_val_loss,metric.noisy_val_accuracy,metric.best_train_accuracy,metric.best_val_accuracy
5,186579939,0.364325,160,320,0.15,24,128,0.0029586784226596804,3.1053318146358995e-06,0.005,quadratic_bias_to_zero,0.0002,0.45656452457110086,0.8536666666666667,3.671283727645874,0.10083333333333333,0.6659333333333334,0.8536666666666667
6,913214295,0.3628833333333333,192,256,0.05,24,256,0.002372764578691956,0.00043183620015801896,0.002,quadratic_bias_to_zero,5e-05,0.4090746173063914,0.861,5.219830006917317,0.09466666666666666,0.8123333333333334,0.861
10,1717047801,0.3396416666666667,128,320,0.1,20,256,0.0011240790991082585,2.714874666125455e-05,0.002,quadratic_bias_to_zero,0.0001,0.6245116147994995,0.785,4.071383622487386,0.09983333333333333,0.6851333333333334,0.785
11,425971005,0.3370833333333333,96,320,0.0,16,128,0.0009207061135587025,1.390114927900448e-06,0.005,quadratic_bias_to_zero,5e-05,0.604138901869456,0.791,5.067173876444499,0.09266666666666666,0.7384,0.791
9,53328914,0.3348833333333333,160,256,0.15,20,128,0.0018603711624347822,0.00015240871617952333,0.005,uniform,0.0002,0.6282507952054341,0.768,3.426426081975301,0.10166666666666667,0.5714,0.768
7,1574602980,0.33434166666666665,128,384,0.05,24,128,0.0005897951409494784,4.090824996893285e-06,0.005,uniform,0.0001,0.6828312196731567,0.7593333333333333,4.61969072341919,0.1055,0.6493333333333333,0.7593333333333333
8,1441716649,0.332825,96,256,0.1,16,256,0.0019203833113603632,1.8795099699348965e-05,0.005,uniform,5e-05,0.6458446044921875,0.7723333333333333,5.09263086827596,0.09616666666666666,0.7063333333333334,0.7723333333333333
3,2099743525,0.33205833333333334,192,256,0.0,12,256,0.0016645418099496356,4.45778586839547e-05,0.003,uniform,5e-05,0.6620215519269308,0.772,4.8127072842915855,0.09516666666666666,0.7084666666666667,0.772
1,1854612611,0.330075,96,384,0.05,24,256,0.0008019170164818895,1.5497523199365425e-05,0.002,quadratic_bias_to_zero,0.0001,0.6772357951800029,0.762,4.258980047861735,0.0975,0.6716666666666666,0.762
4,377934397,0.32858333333333334,128,256,0.05,20,128,0.0007843209518921243,0.00020751043443140133,0.001,uniform,0.0001,0.678393928527832,0.7586666666666667,4.345448170979818,0.097,0.6452666666666667,0.7586666666666667
0,1709091010,0.32737499999999997,192,384,0.15,16,128,0.0007991094953817597,7.26496270435606e-06,0.005,uniform,0.0001,0.7066991534233094,0.7493333333333333,4.234155301411946,0.10016666666666667,0.645,0.7493333333333333
2,1693758289,0.31937499999999996,160,384,0.1,20,256,0.0018685330213799015,3.992137045026784e-06,0.003,uniform,0.0002,0.7189044076601664,0.7413333333333333,3.5432525850931804,0.09216666666666666,0.5608666666666666,0.7413333333333333
